"","Year","Country","reservegrowth","IRgrowth","ERgrowth"
"1","1980","Argentina",-0.029886818,NA,NA
"2","1981","Argentina",-0.0466335455,NA,NA
"3","1982","Argentina",-0.0172895585833333,NA,NA
"4","1983","Argentina",-0.03537198325,NA,NA
"5","1984","Argentina",0.0151073165833333,NA,NA
"6","1985","Argentina",0.0947791323333333,NA,NA
"7","1986","Argentina",-0.0086722155,NA,NA
"8","1987","Argentina",-0.0244072098333333,NA,NA
"9","1988","Argentina",0.0653688860833333,NA,-0.0952246595454545
"10","1989","Argentina",-0.03091929725,NA,-0.255184940333333
"11","1990","Argentina",0.10627734425,NA,-0.0788714739166667
"12","1991","Argentina",-0.0230606331428571,NA,-0.044423254
"13","1992","Argentina",0.0438843458333333,NA,2.18699999999999e-06
"14","1993","Argentina",0.0289280064166667,NA,-0.000538463416666667
"15","1994","Argentina",0.00389988925,NA,-1.63011666666667e-05
"16","1995","Argentina",0.0124463235,NA,-0.000116604166666667
"17","1996","Argentina",0.0229874721666667,NA,-3.24743333333333e-05
"18","1997","Argentina",0.017944367,NA,8.48333333333333e-07
"19","1998","Argentina",0.00956577275,NA,3.33333333333333e-06
"20","1999","Argentina",0.00607588766666667,NA,-4.09158333333332e-06
"21","2000","Argentina",-0.00201248441666667,NA,3.675025e-05
"22","2001","Argentina",-0.0332375036666667,NA,0.00104618016666667
"23","2002","Argentina",-0.0249482259166667,NA,-0.0857905316666667
"24","2003","Argentina",0.02696919775,NA,0.0169088224166667
"25","2004","Argentina",0.0249554395,-0.0134575568571429,0.00151099083333333
"26","2005","Argentina",0.0310778631666667,0.056164531,-0.000850891916666667
"27","2006","Argentina",0.0169156973333333,0.0211820590833333,-0.00244420166666667
"28","2007","Argentina",0.0315011693333333,0.0282765678333333,-0.00200910441666667
"29","2008","Argentina",0.000618045833333333,0.02374656625,-0.00580272108333333
"30","2009","Argentina",0.00239887941666667,-0.0125801556666667,-0.00984802266666667
"31","2010","Argentina",0.00645178091666667,0,-0.00372720183333333
"32","2011","Argentina",-0.0113844685833333,0,-0.005965092
"33","2012","Argentina",-0.00640495708333333,0,-0.0101408651666667
"34","2013","Argentina",-0.0284124719166667,0,-0.0197887151666667
"35","2014","Argentina",0.00355108475,0.0370370373333333,-0.0252673069166667
"36","1980","Australia",0.005778701,0.0190485481818182,0.00452054990909091
"37","1981","Australia",0.00622340566666667,0.0121527069166667,-0.00074361825
"38","1982","Australia",0.123463363416667,-0.00896805116666666,-0.014940914
"39","1983","Australia",0.0311812748333333,-0.0112020354166667,-0.0028686725
"40","1984","Australia",-0.0148409125,0.02658959975,-0.00609019975
"41","1985","Australia",-0.0194374063333333,0.03520816075,-0.0182089161666667
"42","1986","Australia",0.0235302336666667,-0.00656843158333333,-0.00243689983333333
"43","1987","Australia",0.0229024390833333,-0.0259890445833333,0.00719940391666667
"44","1988","Australia",0.0372171025,0.015661476,0.0183614668333333
"45","1989","Australia",0.00145371558333333,0.0155637574166667,-0.0086549585
"46","1990","Australia",0.0147016704166667,-0.0288144034166667,-0.000294463416666667
"47","1991","Australia",0.00165571658333333,-0.03159276975,0.0011768835
"48","1992","Australia",-0.02977917075,-0.0311328766666667,-0.01116207375
"49","1993","Australia",0.000385057666666667,-0.0153478901666667,-0.00275890816666667
"50","1994","Australia",0.00166803975,0.0343398600833333,0.0131529054166667
"51","1995","Australia",0.00533092175,0.00531914641666667,-0.00301333775
"52","1996","Australia",0.0208845218333333,-0.01563559325,0.00864738025
"53","1997","Australia",0.0114308513333333,-0.01711789825,-0.0153441515833333
"54","1998","Australia",-0.00981993058333333,-0.00399999633333333,-0.00548485583333333
"55","1999","Australia",0.0339510044166667,0.00419468558333333,0.00104758525
"56","2000","Australia",-0.00744109141666667,0.0191709353333333,-0.0134192491666667
"57","2001","Australia",3.97555000000006e-05,-0.0305945814166667,-0.00206060775
"58","2002","Australia",0.013046342,0.00892329333333333,0.006891376
"59","2003","Australia",0.0401378861666667,0.008218488,0.0223013834166667
"60","2004","Australia",0.0126915380833333,0.000318674,0.00586675008333333
"61","2005","Australia",0.015743509,0.00396131466666667,-0.00372571491666667
"62","2006","Australia",0.0226605021666667,0.0108397403333333,0.00592625025
"63","2007","Australia",-0.05258695925,0.00649865433333333,0.00973411066666667
"64","2008","Australia",0.020586065,-0.0333470908333333,-0.024514588
"65","2009","Australia",0.02231898175,-0.00948737533333333,0.03177191675
"66","2010","Australia",0.0029965315,0.0204769783333333,0.00456938858333333
"67","2011","Australia",0.010473188,-0.00809078916666667,0.00604064458333333
"68","2012","Australia",0.00577511308333333,-0.0280332776666667,0.00220679033333333
"69","2013","Australia",0.0102705201666667,-0.0155633259166667,-0.0107548005
"70","2014","Australia",0.00635836266666667,0,-0.00552736875
"71","1980","Austria",0.0263345386363636,0.0259740270909091,0.00134751281818182
"72","1981","Austria",0.000549407166666667,0,0.000842151416666667
"73","1982","Austria",0.000857029083333334,-0.02733226,-8.68945833333333e-05
"74","1983","Austria",-0.0116626001666667,-0.01754385975,-0.000169500833333333
"75","1984","Austria",-0.00193230991666666,0.0160130725,0.000223401416666667
"76","1985","Austria",0.010912156,-0.00925925933333333,-1.16530833333333e-05
"77","1986","Austria",0.021434762,0,-0.00014597025
"78","1987","Austria",0.0167827929166667,-0.0223214290833333,2.94235833333333e-05
"79","1988","Austria",-0.00092023225,0.02579365175,3.58018333333333e-05
"80","1989","Austria",0.0125938310833333,0.0427759749166667,-9.96320833333333e-05
"81","1990","Austria",0.00767662825,0,9.39509166666667e-05
"82","1991","Austria",0.0102354526666667,0.0143714276666667,-6.44686666666667e-05
"83","1992","Austria",0.01507991575,0.00348831566666667,4.69639166666667e-05
"84","1993","Austria",0.0133176384166667,-0.0342906925833333,3.52080833333333e-05
"85","1994","Austria",0.011872032,-0.0126128701666667,-8.79099166666667e-05
"86","1995","Austria",0.00911798658333333,-0.0263739344166667,4.6991e-05
"87","1996","Austria",0.0170611623333333,-0.0204180801666667,-1.16975833333333e-05
"88","1997","Austria",-0.0123270169166667,0,-5.85491666666666e-06
"89","1998","Austria",0.0111999565,0,1.76055833333333e-05
"90","1999","Austria",-0.0267853256666667,0.0194444445,5.85833333333333e-06
"91","2000","Austria",-0.0047107875,0.03994978475,0
"92","2001","Austria",-0.01074904125,-0.0299306278333333,0
"93","2002","Austria",-0.0191403911666667,-0.0128205133333333,0
"94","2003","Austria",-0.00979613775,-0.02424242475,0
"95","2004","Austria",-0.00533843908333333,0,0
"96","2005","Austria",-0.0100861881666667,0.0104166666666667,0
"97","2006","Austria",0.0040642875,0.0385230519166667,0
"98","2007","Austria",0.0343987495833333,0.0115079370833333,0
"99","2008","Austria",-0.0138025328333333,-0.03493746925,0
"100","2009","Austria",-0.00208550875,-0.0680555565,0
"101","2010","Austria",0.0137061759166667,0,0
"102","2011","Austria",0.0113500080833333,0.006944444,0
"103","2012","Austria",0.0088070945,-0.0208333333333333,0
"104","2013","Austria",0.00174376808333333,-0.06944444525,0
"105","2014","Austria",0.0110097789166667,-0.0888888885833333,0
"106","1980","Belgium",0.0308434450909091,0.0146520150909091,0.000675927181818182
"107","1981","Belgium",-0.0297956599166667,0.024229244,-0.00413023075
"108","1982","Belgium",-0.0140310986666667,-0.0211709746666667,-0.0122192941666667
"109","1983","Belgium",0.0116679123333333,-0.0104923186666667,-0.00284838158333333
"110","1984","Belgium",-0.00201238125,0.00833333341666667,0.000831806083333333
"111","1985","Belgium",0.00632999016666667,-0.007844456,-0.000906672083333333
"112","1986","Belgium",0.0119118353333333,-0.015689866,-0.00190924808333333
"113","1987","Belgium",0.041210282,-0.01063730725,-0.0005856765
"114","1988","Belgium",-0.00250090216666667,0.0091506675,-1.668e-05
"115","1989","Belgium",0.009898512,0.02401995325,-0.000243831333333333
"116","1990","Belgium",0.0100569109166667,0.00203252025,0.00136061191666667
"117","1991","Belgium",0.00126908616666667,-0.018253969,0.0002934495
"118","1992","Belgium",0.01591471525,-0.00229779416666667,5.18214166666667e-05
"119","1993","Belgium",-0.01363648425,-0.0309242268333333,-0.00195850683333333
"120","1994","Belgium",0.0158550250833333,-0.01252088575,0.00218107933333333
"121","1995","Belgium",0.0118719858333333,-0.0315806884166667,1.85728333333333e-05
"122","1996","Belgium",0.00352822283333333,-0.0138888893333333,-0.000222684916666667
"123","1997","Belgium",-0.00368317191666667,0.00833333341666667,-6.85521666666667e-05
"124","1998","Belgium",0.010014303,0,5.31666666666726e-08
"125","1999","Belgium",-0.03511408225,0.0103535354166667,0
"126","2000","Belgium",-0.00642816058333333,0.03994978475,0
"127","2001","Belgium",0.00976274641666667,-0.0299306278333333,0
"128","2002","Belgium",0.00462587133333333,-0.0128205133333333,0
"129","2003","Belgium",-0.00532927775,-0.02424242475,0
"130","2004","Belgium",-0.00426858875,0,0
"131","2005","Belgium",-0.0182729670833333,0.0104166666666667,0
"132","2006","Belgium",0.00645713908333333,0.0385230519166667,0
"133","2007","Belgium",0.0142049613333333,0.0115079370833333,0
"134","2008","Belgium",-0.00762533691666667,-0.03493746925,0
"135","2009","Belgium",0.05236593975,-0.0680555565,0
"136","2010","Belgium",0.00306950483333333,0,0
"137","2011","Belgium",0.00692878025,0.006944444,0
"138","2012","Belgium",0.00313877491666667,-0.0208333333333333,0
"139","2013","Belgium",-0.0019133565,-0.06944444525,0
"140","2014","Belgium",-0.0071453885,-0.0888888885833333,0
"141","1980","Brazil",-0.0236301510909091,NA,NA
"142","1981","Brazil",0.0125039021666667,NA,NA
"143","1982","Brazil",-0.03759540425,NA,NA
"144","1983","Brazil",0.0141277568333333,NA,NA
"145","1984","Brazil",0.0856169519166667,NA,NA
"146","1985","Brazil",-0.00498580641666667,NA,NA
"147","1986","Brazil",-0.046445307,NA,NA
"148","1987","Brazil",0.0132734498333333,NA,NA
"149","1988","Brazil",0.0125900936666667,NA,NA
"150","1989","Brazil",0.00994317825,NA,NA
"151","1990","Brazil",0.00952465183333333,NA,NA
"152","1991","Brazil",0.0106150965,NA,NA
"153","1992","Brazil",0.09337806775,NA,NA
"154","1993","Brazil",0.0265541241666667,NA,NA
"155","1994","Brazil",0.01719238225,NA,-0.147554903727273
"156","1995","Brazil",0.0286434419166667,NA,-0.0106020066666667
"157","1996","Brazil",0.0134731125833333,-0.0173110358,-0.00552394875
"158","1997","Brazil",-0.010035695,0.0654911475833333,-0.00593807658333333
"159","1998","Brazil",-0.00601742083333333,0.905693409416667,-0.00662715833333333
"160","1999","Brazil",-0.00828044066666667,-0.013758654,-0.0282328155833333
"161","2000","Brazil",-0.00263841766666667,-0.01524727075,-0.00284245225
"162","2001","Brazil",0.00873714816666667,0.0161836869166667,-0.0171593299166667
"163","2002","Brazil",0.00823116625,0.0247609253333333,-0.0270584174166667
